BAS_DD,VOL,DIFF_DAY,MMF,KOSPI200,LAG_VK200,PRIOR,TARGET_C_K,TARGET_P_K,PRICE_TARGET_C_K,PRICE_TARGET_P_K,ACC_TRDVOL_TARGET_C_K,ACC_TRDVOL_TARGET_P_K,SELL_AMT,PREMIUM,INTEREST,EXERCISE,REVENUE,RATE
20220331,0.024761109586309043,7,0.0144,365.61,17.88,22041,375,355,0.22,0.47,2398,1771,109.40619786110882,18872569.13104127,2766855.7670367365,0,21639424.898078006,0.0021639424898078005
20220407,0.02325162359922421,7,0.014499999999999999,355.73,16.79,22042,365,345,0.45,0.52,160383,134514,112.44483175442048,27267871.700446963,2788404.6273358776,0,30056276.32778284,0.003005627632778284
20220414,0.023570138990994402,7,0.014499999999999999,357.38,17.02,22043,367.5,347.5,0.17,0.46,4897,2901,111.92568134758521,17628294.812244672,2785724.0326669663,0,20414018.84491164,0.002041401884491164
20220421,0.0240132908404138,7,0.0143,359.02,17.34,22044,370,350,0.13,0.54,4217,4368,111.41440588268064,18661912.985349007,2747583.719150229,0,21409496.704499237,0.0021409496704499235
20220428,0.02818103121867518,6,0.0151,350.16,21.98,22051,362.5,340,0.12,0.69,3493,5258,114.2334932602239,23132282.385195337,2487933.656942736,0,25620216.042138074,0.0025620216042138073
20220504,0.029979445013003016,8,0.015300000000000001,353.85,20.25,22052,365,342.5,0.39,0.99,139984,85727,113.04224954076585,38999576.091564216,3366502.8715441306,128868164.47647312,-86502085.51336478,-0.008650208551336478
20220512,0.02922032507109177,7,0.0154,337.94,21.1,22053,350,327.5,0.41,1.19,9500,4437,118.36420666390484,47345682.66556193,2967407.848195473,0,50313090.5137574,0.00503130905137574
20220519,0.02548123134161557,7,0.015500000000000002,343.24,18.4,22054,352.5,332.5,0.65,0.98,6068,2931,116.53653420347278,47488637.68791516,2986719.2251757234,0,50475356.913090885,0.005047535691309089
20220526,0.027544657140474656,7,0.0158,344.26,19.89,22061,355,332.5,0.31,0.48,8848,3408,116.19125079881485,22947772.032765932,3037090.4755803403,0,25984862.508346274,0.0025984862508346275
20220602,0.023902502878058954,7,0.0163,350.51,17.26,22062,360,340,0.25,0.5,149585,122940,114.11942597928733,21397392.371116374,3132716.280738478,0,24530108.65185485,0.002453010865185485
